日期,20K以上PM入厂工单结算台次,20K以上PM检测台次,20K以上PM检测完成率,X3检测台次
2026-08-28,1409,200,14.2%,345
2026-08-29,1631,377,23.1%,461
2026-08-30,1452,286,19.7%,411

门店简称,日期,结算台次,检测台次,完成率,X3检测台次
上海万兴,2026-08-28,8,2,25.0%,2
上饶宝泓,2026-08-28,2,1,50.0%,6
东莞永佳,2026-08-28,15,0,0.0%,0
临沂泰华,2026-08-28,37,15,40.5%,16
丽水金丰,2026-08-28,8,4,50.0%,4
乌鲁木齐华通,2026-08-28,50,4,8.0%,6
佛山骏安,2026-08-28,32,1,3.1%,2
包头信得惠,2026-08-28,7,0,0.0%,0
北京方庄,2026-08-28,23,1,4.3%,1
南宁中达,2026-08-28,55,0,0.0%,0
南通长江,2026-08-28,12,1,8.3%,1
哈尔滨华通,2026-08-28,14,0,0.0%,0
哈尔滨龙晟,2026-08-28,67,1,1.5%,1
唐山冀东,2026-08-28,30,0,0.0%,0
天津华苑鑫盛,2026-08-28,44,12,27.3%,13
太原大昌,2026-08-28,39,3,7.7%,4
宁波宁兴,2026-08-28,13,2,15.4%,2
安利捷（成都）,2026-08-28,39,10,25.6%,15
安利捷（青岛）,2026-08-28,27,12,44.4%,18
安庆环丰,2026-08-28,9,2,22.2%,2
宜兴新苏南,2026-08-28,17,3,17.6%,5
宜昌德龙,2026-08-28,3,0,0.0%,1
宿迁天宁,2026-08-28,15,8,53.3%,12
岳阳彤达,2026-08-28,52,1,1.9%,1
常州世纪行,2026-08-28,22,1,4.5%,3
常州外汽,2026-08-28,15,12,80.0%,17
常德华运通,2026-08-28,41,9,22.0%,11
广州广博,2026-08-28,24,17,70.8%,24
广州永佳,2026-08-28,23,1,4.3%,1
广西玉林骏业,2026-08-28,13,5,38.5%,11
徐州常缘,2026-08-28,27,14,51.9%,14
惠州骏爵,2026-08-28,16,0,0.0%,0
成都启阳华通,2026-08-28,34,0,0.0%,12
成都锦泰,2026-08-28,44,0,0.0%,4
昆明大昌行联亚,2026-08-28,12,0,0.0%,4
杭州康桥,2026-08-28,15,7,46.7%,11
桐乡常隆,2026-08-28,9,8,88.9%,12
榆林高新,2026-08-28,26,2,7.7%,22
武汉中南,2026-08-28,82,0,0.0%,0
江门永佳,2026-08-28,8,0,0.0%,0
沈阳于洪,2026-08-28,19,0,0.0%,0
沈阳铁西华通,2026-08-28,37,15,40.5%,16
海宁佳禾,2026-08-28,32,0,0.0%,0
漳州盛兴,2026-08-28,16,0,0.0%,0
烟台东联,2026-08-28,2,0,0.0%,2
苏州中园,2026-08-28,34,3,8.8%,3
苏州由由,2026-08-28,53,13,24.5%,21
西安阳开龙腾,2026-08-28,26,1,3.8%,5
许昌豫中,2026-08-28,32,3,9.4%,6
邢台威龙,2026-08-28,13,2,15.4%,9
郑州世纪鸿图,2026-08-28,16,0,0.0%,0
重庆万家,2026-08-28,24,0,0.0%,11
重庆百事达礼嘉,2026-08-28,7,4,57.1%,11
长春东环,2026-08-28,36,0,0.0%,0
长春华阳,2026-08-28,22,0,0.0%,0
韶关利泰,2026-08-28,11,0,0.0%,3
上海万兴,2026-08-29,17,1,5.9%,1
上饶宝泓,2026-08-29,9,7,77.8%,4
东莞永佳,2026-08-29,13,2,15.4%,3
临沂泰华,2026-08-29,51,14,27.5%,17
丽水金丰,2026-08-29,12,6,50.0%,6
乌鲁木齐华通,2026-08-29,31,7,22.6%,8
佛山骏安,2026-08-29,35,4,11.4%,4
包头信得惠,2026-08-29,11,0,0.0%,0
北京方庄,2026-08-29,22,0,0.0%,0
南宁中达,2026-08-29,20,0,0.0%,1
南通长江,2026-08-29,27,0,0.0%,0
哈尔滨华通,2026-08-29,37,0,0.0%,0
哈尔滨龙晟,2026-08-29,58,5,8.6%,5
唐山冀东,2026-08-29,36,0,0.0%,0
天津华苑鑫盛,2026-08-29,35,1,2.9%,1
太原大昌,2026-08-29,58,2,3.4%,2
宁波宁兴,2026-08-29,29,0,0.0%,0
安利捷（成都）,2026-08-29,39,30,76.9%,30
安利捷（青岛）,2026-08-29,24,20,83.3%,20
安庆环丰,2026-08-29,7,2,28.6%,2
宜兴新苏南,2026-08-29,28,4,14.3%,3
宜昌德龙,2026-08-29,11,2,18.2%,7
宿迁天宁,2026-08-29,58,12,20.7%,11
岳阳彤达,2026-08-29,31,10,32.3%,11
常州世纪行,2026-08-29,24,2,8.3%,3
常州外汽,2026-08-29,17,12,70.6%,22
常德华运通,2026-08-29,18,12,66.7%,14
广州广博,2026-08-29,36,16,44.4%,25
广州永佳,2026-08-29,30,2,6.7%,2
广西玉林骏业,2026-08-29,22,15,68.2%,18
徐州常缘,2026-08-29,41,27,65.9%,31
惠州骏爵,2026-08-29,39,5,12.8%,5
