门店,门店代码,08-17结算台次,08-17检测台次,08-17完成率,08-18结算台次,08-18检测台次,08-18完成率,08-19结算台次,08-19检测台次,08-19完成率,08-20结算台次,08-20检测台次,08-20完成率,08-21结算台次,08-21检测台次,08-21完成率,08-22结算台次,08-22检测台次,08-22完成率,08-23结算台次,08-23检测台次,08-23完成率,08-24结算台次,08-24检测台次,08-24完成率,08-25结算台次,08-25检测台次,08-25完成率,08-26结算台次,08-26检测台次,08-26完成率,08-27结算台次,08-27检测台次,08-27完成率,08-28结算台次,08-28检测台次,08-28完成率,08-29结算台次,08-29检测台次,08-29完成率,08-30结算台次,08-30检测台次,08-30完成率,08-31结算台次,08-31检测台次,08-31完成率,09-01结算台次,09-01检测台次,09-01完成率,累计结算台次,累计检测台次,累计完成率,"累计X3检测台次(8/1起,不限里程)"
上海万兴,3081B,12,2,16.7%,9,3,33.3%,13,1,7.7%,12,2,16.7%,17,7,41.2%,22,2,9.1%,13,3,23.1%,13,3,23.1%,9,0,0.0%,9,4,44.4%,18,1,5.6%,8,2,25.0%,17,1,5.9%,13,0,0.0%,14,1,7.1%,11,3,27.3%,210,35,16.7%,47
上饶宝泓,31342,5,0,0.0%,6,0,0.0%,1,0,0.0%,3,0,0.0%,5,0,0.0%,4,0,0.0%,4,0,0.0%,3,0,0.0%,5,0,0.0%,5,5,100.0%,1,1,100.0%,2,1,50.0%,9,7,77.8%,7,4,57.1%,6,2,33.3%,11,0,0.0%,77,20,26.0%,34
东莞永佳,41891,6,0,0.0%,15,0,0.0%,3,0,0.0%,37,0,0.0%,6,0,0.0%,32,0,0.0%,15,1,6.7%,31,0,0.0%,6,0,0.0%,25,0,0.0%,20,0,0.0%,15,0,0.0%,13,2,15.4%,27,0,0.0%,31,0,0.0%,0,0,—,282,3,1.1%,19
临沂泰华,31491,39,0,0.0%,39,0,0.0%,33,0,0.0%,26,12,46.2%,24,6,25.0%,23,6,26.1%,64,24,37.5%,41,14,34.1%,32,12,37.5%,26,12,46.2%,32,9,28.1%,37,15,40.5%,51,14,27.5%,53,15,28.3%,47,7,14.9%,18,9,50.0%,585,155,26.5%,260
丽水金丰,310B1,27,0,0.0%,10,0,0.0%,7,0,0.0%,25,2,8.0%,33,0,0.0%,10,2,20.0%,13,5,38.5%,24,13,54.2%,16,9,56.2%,10,7,70.0%,17,10,58.8%,8,4,50.0%,12,6,50.0%,19,10,52.6%,14,4,28.6%,21,14,66.7%,266,86,32.3%,98
乌鲁木齐华通,62811,29,0,0.0%,35,0,0.0%,32,0,0.0%,24,0,0.0%,30,0,0.0%,33,7,21.2%,33,8,24.2%,31,6,19.4%,39,5,12.8%,31,4,12.9%,11,2,18.2%,50,4,8.0%,31,7,22.6%,27,4,14.8%,27,3,11.1%,31,4,12.9%,494,54,10.9%,93
佛山骏安,41852,43,0,0.0%,14,0,0.0%,43,0,0.0%,26,0,0.0%,15,0,0.0%,46,0,0.0%,50,0,0.0%,49,0,0.0%,32,0,0.0%,17,0,0.0%,20,1,5.0%,32,1,3.1%,35,4,11.4%,34,3,8.8%,28,0,0.0%,34,0,0.0%,518,9,1.7%,15
包头信得惠,10421,7,0,0.0%,15,0,0.0%,8,0,0.0%,7,0,0.0%,0,0,—,9,0,0.0%,8,0,0.0%,4,0,0.0%,5,0,0.0%,4,0,0.0%,7,0,0.0%,7,0,0.0%,11,0,0.0%,8,0,0.0%,8,0,0.0%,6,0,0.0%,114,0,0.0%,1
北京方庄,10113,22,0,0.0%,27,0,0.0%,55,1,1.8%,36,2,5.6%,31,3,9.7%,17,0,0.0%,0,0,—,40,3,7.5%,31,1,3.2%,30,0,0.0%,43,0,0.0%,23,1,4.3%,22,0,0.0%,0,0,—,55,1,1.8%,22,1,4.5%,454,13,2.9%,30
南宁中达,41911,51,0,0.0%,48,1,2.1%,38,0,0.0%,44,4,9.1%,25,0,0.0%,28,0,0.0%,32,3,9.4%,27,0,0.0%,73,1,1.4%,18,0,0.0%,17,0,0.0%,55,0,0.0%,20,0,0.0%,33,1,3.0%,47,0,0.0%,25,0,0.0%,581,10,1.7%,29
